SummaryDate,OBJECTID,Province,Abbreviation,DailyTotals,TotalCases,TotalRecovered,DailyRecovered,TotalDeaths,DailyDeaths,TotalTested,DailyTested,TotalActive,DailyActive,TotalHospitalized,DailyHospitalized,TotalICU,DailyICU
2020/01/25 12:00:00+00,1,ALBERTA,AB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,2,NWT,NT,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,3,YUKON,YT,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,4,SASKATCHEWAN,SK,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,5,PEI,PE,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,6,ONTARIO,ON,1,1,0,0,0,0,0,0,1,1,,,,
2020/01/25 12:00:00+00,7,NEW BRUNSWICK,NB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,8,REPATRIATED,RC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,9,NOVA SCOTIA,NS,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,10,NL,NL,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,11,MANITOBA,MB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,12,BC,BC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,13,NUNAVUT,NU,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/25 12:00:00+00,14,QUEBEC,QC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,15,PEI,PE,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,16,NWT,NT,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,17,ONTARIO,ON,0,1,0,0,0,0,0,0,1,0,,,,
2020/01/26 12:00:00+00,18,YUKON,YT,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,19,SASKATCHEWAN,SK,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,20,QUEBEC,QC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,21,REPATRIATED,RC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,22,BC,BC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,23,NL,NL,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,24,MANITOBA,MB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,25,ALBERTA,AB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,26,NUNAVUT,NU,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,27,NOVA SCOTIA,NS,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/26 12:00:00+00,28,NEW BRUNSWICK,NB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,29,PEI,PE,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,30,NWT,NT,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,31,ONTARIO,ON,1,2,0,0,0,0,0,0,2,1,,,,
2020/01/27 12:00:00+00,32,YUKON,YT,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,33,REPATRIATED,RC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,34,QUEBEC,QC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,35,SASKATCHEWAN,SK,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,36,ALBERTA,AB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,37,NL,NL,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,38,NEW BRUNSWICK,NB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,39,BC,BC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,40,NUNAVUT,NU,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,41,NOVA SCOTIA,NS,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/27 12:00:00+00,42,MANITOBA,MB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,43,ONTARIO,ON,0,2,0,0,0,0,0,0,2,0,,,,
2020/01/28 12:00:00+00,44,YUKON,YT,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,45,SASKATCHEWAN,SK,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,46,REPATRIATED,RC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,47,QUEBEC,QC,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,48,PEI,PE,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,49,NWT,NT,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,50,NUNAVUT,NU,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,51,NEW BRUNSWICK,NB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,52,MANITOBA,MB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,53,BC,BC,1,1,0,0,0,0,0,0,1,1,,,,
2020/01/28 12:00:00+00,54,ALBERTA,AB,0,0,0,0,0,0,0,0,0,0,,,,
2020/01/28 12:00:00+00,55,NOVA SCOTIA,NS,0,0,0,0,0,0,0,0,0,0,,,,
