Date rapportée du décès,Nombre cumulatif de décès,Nouveaux décès
2020-03-15 0:00,0,0
2020-03-16 0:00,0,0
2020-03-17 0:00,0,0
2020-03-18 0:00,1,1
2020-03-19 0:00,1,0
2020-03-20 0:00,4,3
2020-03-21 0:00,4,0
2020-03-22 0:00,4,0
2020-03-23 0:00,4,0
2020-03-24 0:00,6,2
2020-03-25 0:00,8,2
2020-03-26 0:00,18,10
2020-03-27 0:00,22,4
2020-03-28 0:00,22,0
2020-03-29 0:00,25,3
2020-03-30 0:00,31,6
2020-03-31 0:00,33,2
2020-04-01 0:00,36,3
2020-04-02 0:00,61,25
2020-04-03 0:00,75,14
2020-04-04 0:00,94,19
2020-04-05 0:00,121,27
2020-04-06 0:00,150,29
2020-04-07 0:00,175,25
2020-04-08 0:00,216,41
2020-04-09 0:00,241,25
2020-04-10 0:00,289,48
2020-04-11 0:00,328,39
2020-04-12 0:00,360,32
2020-04-13 0:00,435,75
2020-04-14 0:00,487,52
2020-04-15 0:00,609,122
2020-04-16 0:00,688,79
2020-04-17 0:00,805,117
2020-04-18 0:00,877,72
2020-04-19 0:00,939,62
2020-04-20 0:00,1041,102
2020-04-21 0:00,1134,93
2020-04-22 0:00,1243,109
2020-04-23 0:00,1340,97
2020-04-24 0:00,1446,106
2020-04-25 0:00,1515,69
2020-04-26 0:00,1599,84
2020-04-27 0:00,1682,83
2020-04-28 0:00,1761,79
2020-04-29 0:00,1859,98
2020-04-30 0:00,2022,163
2020-05-01 0:00,2136,114
2020-05-02 0:00,2205,69
2020-05-03 0:00,2280,75
2020-05-04 0:00,2398,118
2020-05-05 0:00,2510,112
